SongName,Note1,Note2,Note3,Note4,Note5,Note6,Note7,Note8,Note9,Note10,Note11,Note12,Note13,Note14,Note15,Note16,Note17,Note18,Note19,Note20,Note21
Eternal Harmony,re,do,mi,do,mi,ti,re,mi,mi,fa,fa,mi,do,fa,re,do,do,do,ti,mi,re
Shimmering Rhapsody,mi,sol,ti,ti,re,sol,ti,fa,mi,mi,ti,mi,ti,la,la,do,re,do,sol,la,ti
Shimmering Quest,sol,la,do,ti,ti,fa,sol,mi,sol,la,re,la,mi,sol,fa,la,ti,mi,re,fa,mi
Winter Ballad,ti,fa,fa,re,re,sol,re,ti,do,do,sol,ti,re,mi,la,ti,fa,sol,mi,fa,ti
Ancient Dreams,mi,sol,la,sol,re,ti,fa,ti,do,sol,sol,mi,do,re,mi,re,ti,re,mi,sol,la
Distant Tale,re,sol,sol,sol,sol,fa,re,mi,sol,re,fa,do,sol,mi,la,re,fa,fa,mi,re,sol
Gleaming Dreams,re,mi,re,mi,ti,do,sol,do,sol,fa,re,la,fa,sol,do,ti,sol,re,fa,re,ti
Distant Quest,fa,do,la,la,ti,ti,mi,mi,la,re,fa,ti,mi,re,sol,fa,fa,do,fa,mi,re
Quiet Saga,la,la,re,ti,la,mi,mi,re,sol,do,do,re,ti,re,do,ti,la,re,ti,re,mi
Summer Harmony,re,re,fa,sol,fa,do,sol,fa,la,fa,la,do,la,do,re,do,ti,fa,mi,ti,ti
Gleaming Saga,re,re,fa,re,sol,sol,mi,sol,la,mi,fa,ti,re,do,ti,la,fa,re,la,re,re
Shimmering Sonata,fa,do,ti,ti,ti,sol,do,ti,ti,do,la,mi,fa,sol,re,sol,fa,fa,do,mi,la
Ancient Journey,ti,do,sol,mi,mi,sol,la,fa,sol,do,la,re,mi,la,mi,mi,mi,la,re,do,do
Magical Saga,mi,fa,re,la,re,re,mi,la,ti,do,ti,sol,la,mi,la,fa,re,ti,do,do,la
Distant Voyage,ti,re,sol,la,do,mi,la,do,mi,re,do,mi,re,ti,la,mi,ti,ti,do,ti,sol
Quiet Journey,mi,ti,la,mi,re,do,re,mi,la,do,re,re,fa,fa,fa,sol,la,fa,sol,mi,re
Whispering Quest,sol,do,ti,re,ti,fa,re,re,re,re,do,mi,ti,la,ti,sol,ti,mi,la,sol,re
Eternal Echoes,mi,ti,mi,la,sol,ti,mi,re,do,mi,do,ti,sol,sol,sol,do,fa,sol,ti,ti,la
Ancient Saga,re,fa,la,la,fa,do,sol,sol,ti,fa,re,sol,la,fa,do,sol,re,sol,do,fa,la
Quiet Lullaby,ti,mi,sol,do,sol,sol,la,la,la,fa,fa,la,do,do,ti,fa,la,re,mi,sol,la
Vibrant Whispers,ti,la,la,mi,mi,la,mi,fa,ti,fa,sol,ti,ti,mi,mi,fa,fa,mi,mi,ti,do
Winter Rhapsody,la,mi,sol,do,mi,do,sol,fa,sol,ti,sol,re,fa,do,fa,do,la,ti,do,do,re
Celestial Harmony,re,la,re,ti,sol,fa,la,sol,re,do,ti,re,la,sol,mi,do,do,ti,do,fa,re
Vibrant Tale,ti,mi,ti,la,la,do,mi,sol,la,do,ti,la,fa,sol,re,mi,mi,sol,la,fa,re
Modern Rhapsody,la,fa,ti,do,sol,do,do,do,sol,ti,mi,fa,re,la,fa,ti,ti,mi,mi,la,la
Spring Harmony,ti,la,re,ti,re,la,la,la,mi,mi,fa,do,sol,mi,la,ti,la,do,do,re,ti
Summer Adventure,mi,sol,mi,sol,re,sol,do,mi,mi,do,do,la,sol,do,la,sol,fa,fa,sol,do,la
Whispering Serenade,fa,sol,ti,la,ti,do,sol,sol,do,mi,ti,fa,ti,fa,ti,ti,mi,mi,do,re,la
Whispering Melody,do,mi,ti,fa,ti,do,re,mi,la,re,re,ti,sol,re,do,la,mi,do,re,re,do
Rustic Echoes,sol,sol,do,ti,do,la,sol,sol,re,la,la,do,do,mi,la,fa,mi,mi,mi,sol,mi
Twilight Echoes,la,sol,ti,ti,mi,re,do,re,fa,la,do,do,mi,re,ti,do,la,re,re,ti,sol
Shimmering Harmony,sol,sol,do,ti,sol,re,sol,ti,fa,fa,re,do,ti,ti,re,ti,mi,mi,re,la,do
Distant Fantasy,mi,la,mi,ti,re,fa,ti,do,mi,la,ti,ti,re,mi,re,sol,la,ti,sol,ti,fa
Rustic Memories,sol,ti,sol,mi,ti,la,la,la,ti,la,do,mi,sol,ti,mi,ti,do,do,sol,la,do
Magical Symphony,la,re,mi,do,do,ti,sol,sol,re,re,la,re,ti,mi,la,ti,do,sol,fa,do,sol
Loud Serenade,sol,re,do,mi,sol,do,sol,fa,ti,ti,la,la,fa,la,do,do,re,do,fa,re,la
Ancient Fantasy,mi,ti,ti,sol,ti,do,re,fa,mi,la,la,fa,ti,sol,mi,mi,ti,ti,fa,sol,fa
Celestial Chorus,fa,sol,re,mi,do,sol,sol,sol,mi,ti,sol,sol,re,la,re,sol,fa,la,sol,sol,sol
Mystic Adventure,mi,mi,la,ti,fa,ti,fa,la,fa,la,sol,ti,mi,sol,re,re,mi,mi,mi,la,sol
Autumn Memories,fa,do,mi,fa,mi,sol,ti,do,re,sol,sol,mi,re,sol,fa,fa,la,ti,fa,sol,re
Summer Memories,fa,mi,la,re,ti,sol,re,do,ti,fa,la,re,sol,mi,sol,do,la,ti,do,do,re
Quiet Serenade,re,fa,fa,la,do,fa,re,fa,sol,mi,ti,ti,mi,sol,la,sol,sol,la,fa,ti,sol
Eternal Symphony,sol,do,fa,do,ti,fa,re,mi,sol,la,sol,do,mi,sol,mi,la,re,mi,mi,ti,do
Twilight Saga,re,do,re,la,ti,ti,sol,sol,re,mi,re,do,mi,sol,do,fa,ti,mi,do,do,do
Summer Whispers,la,fa,la,fa,fa,la,la,mi,do,re,do,re,re,sol,sol,ti,do,sol,la,mi,mi
Distant Harmony,sol,mi,ti,re,fa,mi,do,sol,sol,do,do,la,sol,la,do,mi,la,re,sol,re,do
Shimmering Ballad,do,mi,fa,sol,sol,re,fa,do,do,fa,ti,sol,ti,mi,ti,sol,mi,sol,mi,sol,ti
Eternal Melody,sol,sol,sol,do,la,ti,re,mi,la,la,sol,sol,la,la,fa,sol,sol,do,ti,sol,do
Serene Whispers,ti,sol,la,do,do,do,sol,re,fa,sol,fa,re,mi,la,mi,do,ti,re,mi,sol,sol
Rustic Journey,re,ti,la,re,re,sol,re,fa,do,mi,fa,fa,fa,do,mi,do,sol,ti,fa,sol,do
Vibrant Saga,mi,la,do,do,mi,sol,la,mi,ti,re,ti,ti,ti,la,fa,ti,fa,ti,sol,ti,la
Eternal Fantasy,re,re,fa,la,sol,mi,la,mi,mi,ti,re,do,fa,do,sol,do,re,re,mi,la,mi
Rustic Voyage,fa,ti,mi,re,re,la,fa,la,mi,re,mi,fa,ti,ti,do,ti,do,sol,la,do,re
Mystic Chorus,do,re,do,la,mi,re,la,la,sol,re,sol,do,la,sol,ti,do,ti,fa,sol,re,fa
Twilight Whispers,fa,mi,mi,fa,fa,la,re,do,do,mi,sol,mi,re,ti,do,ti,ti,fa,mi,fa,mi
Twilight Fantasy,sol,do,re,fa,re,sol,mi,fa,do,re,fa,ti,ti,ti,fa,ti,re,do,mi,la,sol
Distant Lullaby,la,sol,re,do,sol,la,fa,do,re,ti,fa,fa,sol,ti,do,re,re,fa,sol,do,la
Autumn Quest,ti,fa,fa,sol,do,re,sol,fa,la,mi,sol,mi,fa,do,la,sol,sol,mi,re,sol,ti
Magical Rhapsody,ti,fa,la,sol,mi,mi,la,fa,re,re,mi,re,fa,sol,do,re,fa,mi,do,ti,re
Summer Rhapsody,ti,re,la,fa,do,mi,re,re,do,la,do,fa,re,sol,fa,fa,la,la,re,re,sol
Spring Adventure,fa,mi,ti,fa,ti,ti,do,ti,mi,ti,re,re,ti,fa,re,do,sol,la,re,la,ti
Serene Echoes,do,do,do,mi,ti,la,re,sol,mi,sol,re,fa,fa,la,do,sol,sol,ti,ti,re,fa
Ancient Quest,fa,mi,la,fa,la,do,fa,re,re,ti,re,sol,re,do,do,mi,sol,do,ti,mi,mi
Ancient Adventure,mi,mi,la,fa,do,re,mi,sol,sol,re,re,re,mi,fa,la,la,la,do,fa,sol,mi
Winter Symphony,ti,mi,la,fa,mi,sol,do,re,mi,do,do,sol,la,la,fa,re,ti,la,ti,do,sol
Modern Fantasy,sol,fa,do,sol,do,fa,la,do,la,sol,mi,sol,do,mi,fa,fa,re,sol,mi,re,re
Winter Tale,mi,la,la,fa,re,re,sol,re,la,sol,do,sol,mi,mi,fa,fa,ti,mi,la,re,do
Distant Saga,re,re,fa,fa,ti,ti,mi,la,ti,sol,do,la,ti,mi,do,mi,la,mi,fa,re,re
Rustic Harmony,la,sol,la,fa,la,la,la,sol,re,mi,la,la,fa,mi,ti,sol,ti,mi,ti,mi,do
Quiet Symphony,fa,la,sol,re,sol,re,do,re,re,re,la,fa,ti,ti,do,do,sol,mi,la,la,mi
Vibrant Harmony,fa,do,re,do,la,mi,fa,la,la,la,do,sol,fa,fa,mi,re,fa,mi,re,la,do
Gleaming Memories,la,la,sol,la,ti,mi,do,mi,re,re,fa,do,re,re,sol,ti,sol,re,la,mi,do
Winter Echoes,fa,ti,sol,ti,re,do,do,re,fa,ti,re,do,fa,mi,la,re,ti,do,la,la,do
Distant Rhapsody,fa,re,mi,do,do,do,re,mi,re,fa,ti,mi,ti,sol,sol,ti,do,re,fa,ti,re
Magical Echoes,fa,fa,do,la,re,mi,ti,ti,do,fa,sol,la,do,re,re,fa,sol,la,mi,do,re
Mystic Whispers,ti,sol,ti,sol,la,la,re,la,fa,re,fa,sol,re,re,sol,mi,ti,ti,la,do,la
Spring Sonata,mi,ti,re,sol,ti,sol,re,re,la,mi,la,la,ti,re,ti,do,re,mi,mi,ti,re
Quiet Harmony,sol,re,fa,re,do,do,fa,re,sol,mi,la,fa,do,ti,mi,ti,la,fa,la,mi,fa
Twilight Memories,fa,do,fa,mi,ti,ti,ti,mi,do,mi,la,sol,do,ti,la,fa,ti,mi,do,la,sol
Autumn Voyage,fa,re,fa,sol,ti,fa,sol,re,do,sol,do,ti,la,sol,mi,mi,sol,ti,mi,fa,la
Eternal Lullaby,fa,fa,mi,mi,re,re,sol,fa,mi,ti,sol,mi,sol,ti,fa,sol,la,fa,ti,do,ti
Serene Tale,re,fa,ti,la,la,fa,re,ti,re,fa,sol,mi,do,mi,fa,mi,do,do,la,ti,sol
Whispering Ballad,do,re,ti,re,mi,mi,ti,re,do,do,sol,re,sol,sol,fa,do,re,sol,do,sol,la
Winter Quest,mi,la,mi,do,sol,la,re,sol,mi,re,do,fa,fa,ti,re,re,la,fa,mi,sol,fa
Ancient Serenade,fa,sol,do,fa,fa,ti,do,re,la,la,ti,mi,la,la,la,do,ti,la,mi,do,ti
Celestial Memories,ti,ti,re,mi,mi,fa,do,re,fa,sol,re,re,re,la,do,fa,mi,re,ti,do,sol
Magical Serenade,sol,ti,ti,do,la,mi,mi,fa,la,re,ti,fa,do,fa,la,mi,fa,re,re,re,ti
Ancient Chorus,mi,mi,mi,ti,fa,sol,mi,fa,ti,la,sol,ti,re,sol,sol,sol,sol,sol,sol,mi,mi
Ancient Sonata,re,sol,sol,ti,do,mi,re,re,la,do,ti,do,fa,re,fa,fa,la,do,do,do,sol
Vibrant Quest,re,fa,mi,re,do,la,mi,fa,mi,sol,sol,la,fa,do,do,do,fa,ti,mi,ti,do
Summer Fantasy,re,fa,mi,sol,mi,ti,mi,ti,sol,la,la,ti,fa,sol,do,la,do,re,la,la,sol
Spring Quest,re,fa,ti,fa,do,mi,re,mi,do,sol,fa,ti,do,fa,do,re,do,mi,sol,la,re
Shimmering Dreams,sol,mi,re,sol,fa,la,do,do,sol,mi,re,re,ti,do,re,re,mi,re,re,ti,ti
Loud Dreams,re,la,do,fa,mi,ti,re,do,fa,fa,do,fa,la,do,sol,do,mi,ti,sol,mi,mi
Twilight Voyage,do,mi,mi,mi,la,do,re,sol,re,fa,re,ti,mi,mi,ti,ti,la,la,re,ti,do
Serene Adventure,la,sol,fa,do,re,sol,re,fa,la,do,do,mi,fa,sol,ti,fa,ti,mi,sol,fa,fa
Whispering Symphony,sol,mi,do,sol,mi,do,do,fa,sol,mi,mi,do,sol,ti,mi,la,sol,sol,la,re,sol
Rustic Saga,re,fa,mi,la,fa,ti,fa,do,sol,do,ti,do,fa,re,sol,mi,la,do,do,fa,mi
Distant Memories,mi,do,re,sol,ti,ti,sol,sol,do,mi,fa,sol,mi,sol,ti,do,mi,do,ti,ti,sol
Rustic Symphony,la,do,re,re,fa,do,re,re,ti,sol,do,do,mi,do,la,ti,re,la,do,ti,fa
